shop_name,city,state,latitude,longitude,address,phone_number,rating,rating_count
Ruchika Ayurvedic Store,Delhi,Delhi,28.6084148,77.0569414,"G, 17A, Som Bazar Rd, Vishwas Park Extn, Raja Puri, Uttam Nagar, New Delhi, Delhi, 110059",+91 99993 47170,4.7,202
Nisha Ayurvedic Centre,Delhi,Delhi,28.637827,77.0385662,"Near Tyagi Market Mohan Garden, Balaji Chowk Rd, Uttam Nagar, New Delhi, Delhi, 110059",+91 94675 41819,4.9,76
Matsyaveda Herbals,Delhi,Delhi,28.5656881,77.1881083,"34, Mohammadpur Main Rd, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066",+91 99994 04323,4.7,47
Ahuja Ayurvedic Store,Delhi,Delhi,28.6373756,77.0970028,"33, Shivaji Marg, Double Storey, Block 3, Tilak Nagar, New Delhi, Delhi, 110018",+91 90134 34557,4.6,185
Dhanvantari Arogya,Delhi,Delhi,28.6930443,77.1350949,"Plot No 5, Block B, Lok Vihar, Pitampura, New Delhi, Delhi, 110034",+91 11 4595 5555,4.8,24
Ayushleaf Lifecare,Delhi,Delhi,28.6209636,77.0600776,"WZ G-18, 1st Floor, Arya Samaj Rd, Block G, Uttam Nagar, New Delhi, Delhi, 110059",+91 99539 71822,4.5,182
Shankar Ayurved Agency,Delhi,Delhi,28.609214,77.1003209,"Shop No. 6-7, Main Pankha Road, Near Sagarpur Bus Stand, Sagar Pur, Delhi, 110058",+91 98701 87871,4.5,24
Shree Radhe Krishna Traders - Ayurvedic Wholesale,Delhi,Delhi,28.6939895,77.0587429,"I-118, Near 70 Feet Road, Block I, Prem Nagar II, Kirari Suleman Nagar, Delhi, 110086",,4.9,78
Naved Unani & Ayurvedic Store,Mumbai,Maharashtra,19.0427139,72.8477707,"Shop No. 85, Jasmine Mill Rd, Mahim East, Dharavi, Mumbai, Maharashtra 400017",+91 99675 29787,4.6,20
Saksham Ayurvedic Medical Store,Mumbai,Maharashtra,19.1251411,72.85669,"Shop No 2, Jijamata Rd, Malpa Dongri, Andheri East, Mumbai, Maharashtra 400093",+91 90828 03459,4.9,251
Naaz Gandhi,Mumbai,Maharashtra,18.9680312,72.8286131,"Shop No.2, Ripon House 249, Maulana Azad Rd, Nagpada, Mumbai, Maharashtra 400008",+91 91723 12373,4.9,113
Shuddh Ayurveda Aushadhi Bhandar,Mumbai,Maharashtra,18.9544565,72.8319066,"408, Ghoghari Mohalla St, Pydhonie, Bhuleshwar, Mumbai, Maharashtra 400003",+91 76669 28029,5.0,460
Ashtang Herbals - Official Store,Mumbai,Maharashtra,19.2053577,72.84376,"Shop no-3, Laabh Sarita Bldg, Kandivali West, Mumbai, Maharashtra 400067",+91 99206 56865,4.9,423
Krishna Ayurvedic Bhandar,Mumbai,Maharashtra,19.1264825,72.8595431,"Shop No 5/3, Pump House, Jijamata Rd, Andheri East, Mumbai, Maharashtra 400093",+91 89763 97260,4.9,60
Jay Jalaram Ayurved Bhandar,Mumbai,Maharashtra,19.2294389,72.8587126,"Yashwant Shopping Centre, 68, Kasturba Cross Rd No 7, Borivali East, Mumbai, Maharashtra 400066",+91 98707 13260,3.2,52
Namaha Dhanvantri,Mumbai,Maharashtra,19.2232421,72.853242,"Shop No.18, Anjana Bldg.3, Shimpoli Rd, Borivali West, Mumbai, Maharashtra 400092",+91 99209 20942,4.9,104
Sanjeevani Ayurvedic Bhavan,Bangalore,Karnataka,12.9230331,77.5828266,"715/328, 36th A Cross Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560041",+91 98441 81238,4.9,248
SD Ayurveda Mane - Holistic Wellness Centre,Bangalore,Karnataka,12.8507463,77.651938,"No-25, Vinayaka Layout, Electronic City Phase I, Bengaluru, Karnataka 560100",+91 85928 58304,4.8,1203
Ayurvedic Medicine Shop,Bangalore,Karnataka,12.9607916,77.52792,"XG6H+857, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Bengaluru, Karnataka 560040",,4.6,5
Vijayanagaram Ayurved Bhandar,Bangalore,Karnataka,12.9717089,77.5389303,"1235, 9th Main Road, Metro Station Vijaynagar, Bengaluru, Karnataka 560040",+91 97414 61087,4.4,108
Sajjan Ayur Zone - Ayurveda Medicine Distributor,Bangalore,Karnataka,13.0301381,77.6654681,"No.5, Sneha Enclave, Venkateshwara Layout Main Road, Horamavu, Bengaluru, Karnataka 560113",+91 98441 88738,4.8,71
AYURCENTRAL,Bangalore,Karnataka,13.0318076,77.6359309,"No 161/110/1, Hennur Main Rd, HBR Layout 4th Block, Bengaluru, Karnataka 560043",+91 77955 05101,4.8,50
Mahalakshmi Ayurvedic Centre,Bangalore,Karnataka,13.0079721,77.5464723,"No. 166/13, 12th Main, Mahalakshmi Layout, Bengaluru, Karnataka 560086",+91 95902 00068,4.9,18
Chennai Ayurveda Pharmacy,Chennai,Tamil Nadu,13.0385681,80.225663,"Station Rd, West Mambalam, Chennai, Tamil Nadu 600033",+91 97907 59342,4.7,16
Raj Ayurvedic Stores,Chennai,Tamil Nadu,13.0389404,80.2288367,"Shop No. 13, Rameswaram St, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",+91 94442 64116,4.5,26
Perambur Pharmacy,Chennai,Tamil Nadu,13.1095089,80.244616,"No: 168/1, Patel Rd, Near Railway Station, Perambur, Chennai, Tamil Nadu 600011",+91 44 4556 1212,4.8,33
City Ayurvedic Stores,Chennai,Tamil Nadu,13.0387046,80.2262346,"Lake View Road, 19, Hanuman Koil St, West Mambalam, Chennai, Tamil Nadu 600033",+91 44 2371 6751,4.4,29
Maleshwar IMC Herbal Store Chennai,Chennai,Tamil Nadu,13.0888365,80.2509813,"52, Brick Kiln Rd, Salama Nagar, Purasaiwakkam, Chennai, Tamil Nadu 600007",+91 74128 68746,3.8,5
Himalaya - Sri Periyandavar Ayurvedic,Chennai,Tamil Nadu,13.0322992,80.2694353,"29, Sri Kapaleaswarar, S Mada St, Mylapore, Chennai, Tamil Nadu 600004",+91 80562 44866,4.9,14
Roopam Ayurveda,Chennai,Tamil Nadu,13.092754,80.2795213,"111, Audiappa Naicken St, George Town, Chennai, Tamil Nadu 600001",+91 93420 84496,5.0,49
K. Somu Chetty & Co,Chennai,Tamil Nadu,13.0860283,80.2797718,"Old # 173, New # 157, Rasappa Chetty St, Park Town, Chennai, Tamil Nadu 600003",+91 94442 79664,4.9,121
Deep Jyoti Medical Stores,Kolkata,West Bengal,22.5767997,88.3737082,"296 A.P.C. Road, Rajabazar Crossing, Kolkata, West Bengal 700009",+91 90074 49644,5.0,375
Parashar Ayurved Bhawan,Kolkata,West Bengal,22.5793703,88.3962455,"Ekta Residency, 9F, Jogodyan Ln, Phoolbagan, Kolkata, West Bengal 700054",+91 90380 67000,5.0,265
Baidyanath Ayurved (Bhartiya Medicine Centre),Kolkata,West Bengal,22.5799742,88.3570042,"161/1, Mahatma Gandhi Rd, Barabazar Market, Kolkata, West Bengal 700007",+91 96744 86593,4.8,55
Kolkata Ayurveda,Kolkata,West Bengal,22.5024846,88.3815066,"6/21, Near Axis Bank, Dhakuria, Kolkata, West Bengal 700078",+91 33 2418 0010,4.9,28
Shifa Dawakhana,Kolkata,West Bengal,22.5583273,88.3570577,"117, Collin St, Janbazar, Park Street area, Kolkata, West Bengal 700016",+91 98744 06307,5.0,57
Radha Raman Ayurved Bhawan,Kolkata,West Bengal,22.5047237,88.3449079,"28, Deshpran Sasmal Rd, Tollygunge, Kolkata, West Bengal 700033",+91 98311 94997,4.9,48
Monarch Enterprises Ayurvedic Medicine,Kolkata,West Bengal,22.5348813,88.3874642,"61/1Z/48, 3rd Floor, Topsia Rd, Kolkata, West Bengal 700039",,5.0,4
Baidyanath Ayurveda Shop,Kolkata,West Bengal,22.5389621,88.3200511,"114A, Karl Marx Sarani Rd, Khidderpore, Kolkata, West Bengal 700023",+91 98318 69549,3.9,92
Sree Ramsha Ayurvedic Stores,Hyderabad,Telangana,17.4039533,78.4950869,"1-1-230/11, Union Bank Lane, Chikkadpally, Hyderabad, Telangana 500020",+91 40 2766 0989,4.7,92
Maharshi Ayurvedic Store,Hyderabad,Telangana,17.4307342,78.4281905,"8-3-231/A/39, Sri Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045",+91 90102 88581,4.8,23
Nizam Dawasaz & Unani Store,Hyderabad,Telangana,17.3622978,78.4717122,"21-2-372/1, Laad Bazar, Charminar, Hyderabad, Telangana 500002",+91 88013 26865,4.8,162
Mahboobia Dawasaaz (Unani & Ayurvedic) Store,Hyderabad,Telangana,17.3723159,78.4996811,"Opp Sohail Hotel, Malakpet, Hyderabad, Telangana 500036",+91 80193 82088,4.7,151
Balu Herbals Ayurvedic Medicine Clinic - JNTU Shop,Hyderabad,Telangana,17.4857874,78.3908625,"Flat No.16, Phase-III, JNTU Rd, Kukatpally, Hyderabad, Telangana 500072",+91 81218 20001,4.5,164
Balu Herbals Ayurvedic - Jagadgiri Gutta Shop,Hyderabad,Telangana,17.5023955,78.4194729,"A-458, Pipeline Rd, Jagathgiri Gutta, Hyderabad, Telangana 500072",+91 81218 20009,4.8,67
Balu Herbals Ayurvedic Medical Store - Shaikpet Shop,Hyderabad,Telangana,17.4085181,78.3940505,"C95V+9JP, OU Colony, Shaikpet, Hyderabad, Telangana 500104",+91 91009 99590,4.4,48
SK Ayurveda,Pune,Maharashtra,18.6017943,73.8140741,"Lane No-4, Maharashtra Colony, Pimple Saudagar, Pune, Maharashtra 411061",+91 82759 43157,4.9,50
Omguru Traders @ayurvedic,Pune,Maharashtra,18.5613802,73.9310199,"Sai Nagari, Chandan Nagar, Wadgaon Sheri, Pune, Maharashtra 411014",+91 90117 01390,4.9,34
Aastha Herbals,Pune,Maharashtra,18.5129334,73.8537456,"Shanipar Chowk, 1087, Bajirao Rd, Sadashiv Peth, Pune, Maharashtra 411030",+91 81808 10399,4.7,73
Poona Ayurved & Herbals,Pune,Maharashtra,18.4775589,73.8897287,"Shop No 11, C1, Bramha Estate Road, Kondhwa, Pune, Maharashtra 411048",+91 76663 73510,4.9,30
Gurukul Ayurvedh Bhawan,Pune,Maharashtra,18.4932632,73.9323617,"Shop No.13, Pratibha Residency, Hadapsar, Pune, Maharashtra 411028",+91 96075 48684,4.9,109
Atharva Ayurveda,Pune,Maharashtra,18.4766598,73.8209156,"Samarth Park, Shop No. C-4, Sinhgad Rd, Pune, Maharashtra 411051",+91 95112 62160,5.0,51
Scienuvo Biopharma LLP Herbal Ayurvedic Unani,Pune,Maharashtra,18.4649249,73.8904838,"Raviraj Astria, B-102, Parge Nagar Road, Kondhwa, Pune, Maharashtra 411048",+91 86001 06637,5.0,31
Shobha Ayurvedic,Ahmedabad,Gujarat,23.0521055,72.534002,"Subhash Chowk, Maruti Complex, Gurukul Rd, Memnagar, Ahmedabad, Gujarat 380052",+91 99989 32271,4.9,149
